1	1	5169	3281
2	2	909	626
3	3	158	121
4	4	838	630
5	5	577	470
6	6	317	237
7	7	543	320
8	8	1350	836
9	9	3376	2356
10	10	1607	1157
11	11	165	107
12	12	6011	3832
13	13	728	502
14	14	52	48
15	15	42	38
16	16	137	115
17	17	395	367
18	18	1377	1091
19	19	630	490
20	20	303	268
21	21	364	284
22	22	311	246
23	23	45	41
24	24	3710	2551
25	25	424	337
26	26	1497	1024
27	27	190	132
28	28	1946	1242
29	29	1770	1250
30	30	11	10
31	31	1920	1264
32	32	148	115
33	33	99	89
34	34	359	291
35	35	4518	2726
36	36	1735	1119
37	37	70	60
38	38	92	78
39	39	39	35
40	40	576	452
41	41	2827	2140
42	42	822	510
43	43	1358	989
44	44	402	303
45	45	36	34
46	46	1141	838
47	47	512	391
48	48	762	584
49	49	307	255
50	50	3	3
51	51	3	3
52	52	738	460
53	53	1605	1156
54	54	5814	3515
55	55	4527	2861
56	56	663	548
57	57	2706	1960
58	58	458	310
59	59	467	396
60	60	192	152
61	61	363	286
62	62	179	159
63	63	28	23
64	64	10051	5793
65	65	117	94
66	66	49	45
67	67	182	144
68	68	4017	2716
69	69	234	200
70	70	78	69
71	71	2	2
72	72	671	508
73	73	2135	1363
74	74	40	20
75	75	605	461
76	76	369	270
77	77	131	81
78	78	654	454
79	79	6	5
80	80	10	8
81	81	211	143
82	82	1026	705
83	83	2530	1551
84	84	2796	1961
85	85	109	90
86	86	2881	2698
87	87	8182	5500
88	88	1289	918
89	89	2759	1742
90	90	48	38
91	91	928	536
92	92	1228	933
93	93	2473	1705
94	94	1072	786
95	95	98	83
96	96	2382	1611
97	97	1229	880
98	98	1117	803
99	99	704	471
100	100	6	5
101	101	4	4
102	102	300	218
103	103	104	65
104	104	96	65
105	105	1022	666
106	106	1313	965
107	107	2234	1562
108	108	765	652
109	109	221	176
110	110	662	468
111	111	321	249
112	112	341	290
113	113	1528	1361
114	114	179	140
115	115	1398	897
116	116	658	528
117	117	3072	2043
118	118	228	172
119	119	1149	850
120	120	272	233
121	121	403	339
122	122	307	227
123	123	442	329
124	124	666	481
125	125	735	520
126	126	710	508
127	127	396	296
128	128	1416	989
129	129	343	284
130	130	14	10
131	131	258	191
132	132	146	118
133	133	1	1
134	134	94	81
135	135	1416	1204
136	136	1452	952
137	137	1341	993
138	138	196	153
139	139	970	729
140	140	36	31
141	141	304	248
142	142	277	209
143	143	287	216
144	144	248	198
145	145	92	72
146	146	1528	1329
147	147	610	423
148	148	357	232
149	149	2548	1771
150	150	414	317
151	151	320	245
152	152	93	73
153	153	321	239
154	154	99	79
155	155	137	108
156	156	26	19
157	157	593	428
158	158	334	216
159	159	1838	1085
160	160	134	102
161	161	139	109
162	162	29	22
163	163	450	335
164	164	213	156
165	165	409	321
166	166	60	45
167	167	24	17
168	168	8	7
169	169	218	143
170	170	436	257
171	171	272	208
172	172	38	34
173	173	102	87
174	174	371	285
175	175	188	159
176	176	2181	1487
177	177	1529	1014
178	178	755	568
179	179	554	398
180	180	133	119
181	181	210	187
182	182	14	14
183	183	43	37
184	184	293	226
185	185	424	348
186	186	738	547
187	187	1166	847
188	188	1076	908
189	189	277	225
190	190	181	145
191	191	879	564
192	192	103	84
193	193	1412	959
194	194	1145	830
195	195	48	43
196	196	249	213
197	197	646	521
198	198	67	58
199	199	941	691
200	200	1290	926
201	201	282	211
202	202	582	451
203	203	322	267
204	204	261	166
205	205	11	10
206	206	52	40
207	207	627	405
208	208	177	131
